y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83,y_84,x_84,y_85,x_85,y_86,x_86,y_87,x_87,y_88,x_88,y_89,x_89,y_90,x_90,y_91,x_91,y_92,x_92,y_93,x_93,y_94,x_94,y_95,x_95,y_96,x_96,y_97,x_97,y_98,x_98,y_99,x_99,y_100,x_100,y_101,x_101,y_102,x_102
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,36,5,35,5,34,5,33,5,32,5,31,5,31,6,30,6,29,6,28,6,28,7,28,8,27,8,27,9,27,10,27,11,27,12,27,13,26,13,26,14,26,15,26,16,26,17,26,18,26,19,25,19,25,20,24,20,23,20,23,21,23,22,22,22,22,23,22,24,22,25,21,25,21,26,20,26,19,26,18,26,17,26,16,26,15,26,14,26,13,26,12,26,11,26,11,27,10,27,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,34,5,33,5,32,5,31,5,30,5,29,5,29,6,28,6,27,6,26,6,25,6,24,6,24,7,23,7,22,7,21,7,20,7,19,7,19,8,19,9,19,10,19,11,19,12,19,13,18,13,18,14,17,14,16,14,16,15,15,15,15,16,14,16,14,17,13,17,12,17,12,18,12,19,11,19,11,20,10,20,10,21,9,21,8,21,8,22,8,23,8,24,7,24,7,25,6,25,6,26,5,26,4,26,3,26,3,27,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,38,5,37,5,37,6,37,7,36,7,36,8,36,9,35,9,35,10,34,10,34,11,34,12,34,13,33,13,32,13,32,14,31,14,31,15,30,15,30,16,30,17,30,18,30,19,30,20,30,21,30,22,30,23,30,24,30,25,30,26,30,27,29,27,28,27,28,28,28,29,27,29,27,30,27,31,27,32,27,33,27,34,27,35,26,35,26,34,26,33,25,33,25,32,25,31,24,31,23,31,22,31,21,31,20,31,19,31,18,31,17,31,16,31,15,31,14,31,13,31,12,31,11,31,10,31,10,30,10,29,9,29,8,29,7,29,6,29,5,29,5,28,4,28,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,31,5,30,5,29,5,28,5,27,5,26,5,26,6,26,7,25,7,25,8,25,9,24,9,24,10,24,11,24,12,24,13,24,14,24,15,24,16,24,17,24,18,23,18,22,18,21,18,20,18,19,18,18,18,17,18,16,18,15,18,14,18,14,19,14,20,13,20,13,21,13,22,12,22,12,23,12,24,11,24,10,24,10,25,9,25,9,26,8,26,8,27,7,27,6,27,5,27,4,27,3,27,2,27,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,38,5,38,6,37,6,36,6,36,7,36,8,36,9,36,10,36,11,36,12,36,13,36,14,36,15,36,16,36,17,36,18,36,19,36,20,35,20,35,21,35,22,35,23,35,24,34,24,34,25,34,26,34,27,33,27,32,27,32,28,32,29,32,30,32,31,32,32,32,33,32,34,32,35,32,36,32,37,32,38,31,38,31,39,30,39,29,39,28,39,27,39,26,39,26,38,26,37,25,37,24,37,23,37,22,37,21,37,21,36,20,36,20,35,19,35,18,35,17,35,17,34,17,33,16,33,15,33,14,33,14,32,13,32,12,32,11,32,11,31,11,30,10,30,9,30,8,30,7,30,7,29,6,29,5,29,4,29,3,29,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,36,5,35,5,34,5,34,6,33,6,33,7,32,7,32,8,31,8,31,9,31,10,31,11,31,12,30,12,30,13,30,14,30,15,30,16,30,17,30,18,30,19,29,19,29,20,29,21,28,21,28,22,28,23,28,24,28,25,27,25,27,26,27,27,27,28,27,29,27,30,27,31,27,32,26,32,25,32,25,33,24,33,24,34,24,35,24,36,24,37,24,38,24,39,24,38,24,37,24,36,23,36,23,35,22,35,22,34,21,34,20,34,19,34,18,34,17,34,17,33,16,33,16,32,15,32,15,31,14,31,13,31,12,31,11,31,10,31,9,31,8,31,8,30,7,30,6,30,5,30,5,29,5,28,4,28,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,30,4,29,4,29,5,28,5,27,5,27,6,27,7,26,7,25,7,24,7,24,8,24,9,23,9,23,10,22,10,21,10,20,10,19,10,19,11,18,11,18,12,17,12,17,13,17,14,17,15,16,15,16,16,16,17,16,18,16,19,16,20,16,21,16,22,16,23,16,24,16,25,16,26,16,27,16,28,16,29,16,30,15,30,14,30,13,30,12,30,11,30,10,30,9,30,8,30,7,30,6,30,5,30,5,29,4,29,3,29,2,29,1,29,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,32,5,31,5,30,5,29,5,28,5,27,5,26,5,26,6,25,6,24,6,24,7,24,8,24,9,24,10,24,11,23,11,23,12,22,12,22,13,21,13,21,14,20,14,20,15,20,16,20,17,20,18,20,19,20,20,20,21,19,21,18,21,18,22,18,23,18,24,18,25,17,25,16,25,15,25,14,25,14,26,14,27,14,28,14,29,13,29,12,29,12,30,12,31,11,31,11,32,11,33,10,33,9,33,8,33,7,33,7,32,7,31,7,30,6,30,5,30,5,29,4,29,4,28,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,37,5,36,5,35,5,34,5,34,6,34,7,34,8,33,8,33,9,33,10,33,11,33,12,32,12,32,13,32,14,32,15,31,15,31,16,30,16,29,16,29,17,29,18,29,19,29,20,29,21,29,22,29,23,29,24,29,25,29,26,28,26,27,26,26,26,25,26,24,26,24,27,24,28,24,29,23,29,23,30,23,31,23,32,23,33,22,33,22,34,22,35,21,35,20,35,19,35,18,35,17,35,17,34,17,33,17,32,17,31,17,30,16,30,15,30,14,30,13,30,13,29,12,29,11,29,10,29,9,29,8,29,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,36,5,35,5,34,5,34,6,34,7,33,7,32,7,32,8,31,8,30,8,29,8,29,9,29,10,28,10,27,10,27,11,27,12,27,13,27,14,27,15,26,15,25,15,24,15,24,16,24,17,23,17,23,18,23,19,23,20,23,21,22,21,22,22,21,22,20,22,19,22,18,22,17,22,16,22,16,23,15,23,14,23,13,23,12,23,11,23,11,24,11,25,10,25,9,25,8,25,7,25,7,26,7,27,6,27,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,34,5,33,5,32,5,31,5,30,5,29,5,28,5,28,6,28,7,28,8,27,8,26,8,25,8,25,9,24,9,24,10,24,11,24,12,23,12,23,13,23,14,23,15,23,16,22,16,22,17,21,17,21,18,21,19,21,20,21,21,21,22,20,22,20,23,19,23,18,23,17,23,17,24,16,24,16,25,16,26,16,27,15,27,14,27,14,28,13,28,12,28,11,28,11,29,11,30,11,29,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,30,4,29,4,28,4,28,5,27,5,26,5,26,6,25,6,24,6,23,6,23,7,22,7,21,7,20,7,19,7,18,7,18,8,18,9,18,10,17,10,16,10,15,10,15,11,15,12,15,13,14,13,14,14,14,15,14,16,13,16,12,16,12,17,11,17,11,18,11,19,10,19,10,20,10,21,10,22,10,23,10,24,9,24,9,25,8,25,7,25,6,25,5,25,5,26,4,26,3,26,3,27,2,27,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,30,4,29,4,29,5,28,5,27,5,27,6,26,6,25,6,24,6,24,7,23,7,23,8,23,9,22,9,22,10,22,11,22,12,22,13,22,14,21,14,21,15,20,15,19,15,19,16,18,16,18,17,17,17,16,17,15,17,14,17,14,18,13,18,12,18,12,19,11,19,11,20,11,21,10,21,10,22,9,22,9,23,9,24,8,24,7,24,7,25,7,26,7,27,6,27,5,27,4,27,3,27,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,38,5,37,5,36,5,35,5,34,5,34,6,34,7,34,8,34,9,34,10,34,11,33,11,33,12,33,13,33,14,32,14,32,15,32,16,31,16,30,16,30,17,30,18,29,18,29,19,28,19,28,20,28,21,27,21,27,22,27,23,26,23,26,24,25,24,25,25,24,25,24,26,24,27,24,28,24,29,23,29,23,30,23,31,22,31,22,32,21,32,21,33,21,34,20,34,20,35,20,36,20,37,20,38,19,38,18,38,18,37,17,37,17,36,16,36,15,36,14,36,14,35,14,34,13,34,12,34,12,33,11,33,10,33,9,33,9,32,8,32,7,32,7,31,6,31,5,31,5,30,4,30,3,30,2,30,2,29,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,35,5,35,6,35,7,34,7,33,7,32,7,31,7,31,8,30,8,30,9,30,10,29,10,28,10,27,10,26,10,25,10,25,11,25,12,25,13,25,14,24,14,24,15,24,16,23,16,23,17,23,18,23,19,22,19,22,20,22,21,22,22,22,23,21,23,21,24,20,24,20,25,20,26,19,26,18,26,17,26,17,27,16,27,16,28,16,29,16,30,16,31,15,31,15,32,14,32,13,32,12,32,11,32,11,31,10,31,10,30,9,30,8,30,7,30,6,30,5,30,4,30,4,29,4,28,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,37,5,36,5,35,5,34,5,33,5,33,6,32,6,32,7,32,8,32,9,32,10,31,10,31,11,31,12,31,13,31,14,31,15,31,16,30,16,30,17,30,18,30,19,29,19,29,20,29,21,29,22,29,23,29,24,28,24,28,25,28,26,27,26,26,26,25,26,24,26,23,26,22,26,21,26,20,26,19,26,18,26,17,26,16,26,16,27,15,27,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,30,4,29,4,28,4,27,4,26,4,25,4,24,4,23,4,22,4,21,4,20,4,20,5,20,6,19,6,19,7,18,7,18,8,18,9,17,9,16,9,15,9,15,10,15,11,14,11,14,12,14,13,13,13,13,14,13,15,13,16,12,16,12,17,12,18,12,19,12,20,12,21,11,21,11,22,11,23,11,24,11,25,11,26,11,27,10,27,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,30,4,29,4,29,5,28,5,28,6,28,7,28,8,27,8,26,8,26,9,25,9,24,9,23,9,22,9,21,9,20,9,19,9,18,9,18,10,18,11,17,11,17,12,17,13,16,13,15,13,14,13,13,13,13,14,13,15,12,15,11,15,11,16,11,17,10,17,9,17,9,18,9,19,9,20,9,21,8,21,8,22,7,22,7,23,7,24,6,24,5,24,4,24,4,25,4,26,3,26,2,26,2,27,1,27,1,28,0,28
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,31,5,31,6,30,6,29,6,28,6,28,7,28,8,28,9,28,10,27,10,26,10,26,11,25,11,25,12,25,13,25,14,25,15,24,15,23,15,23,16,22,16,22,17,21,17,20,17,20,18,20,19,20,20,20,21,20,22,20,23,19,23,18,23,18,24,17,24,17,25,16,25,15,25,15,26,14,26,14,27,13,27,12,27,11,27,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
